Response ID,What year were you born?,What is your gender?,Which of the following best describes your industry?,Which of the following best describes your industry? (Detailed),Which of the following best describes your current occupation?,Which of the following best describes your current occupation? (Detailed),How many people are currently employed by your organisation?,Do you manage people as part of your current occupation?,Which of the following best describes your household?,How long have you been in your current job?,Metro / Regional,"Thinking about your current job, how much of your time did you spend remote working last year?",My organisation encouraged people to work remotely,My organisation was well prepared for me to work remotely,It was common for people in my organisation to work remotely,It was easy to get permission to work remotely,I could easily collaborate with colleagues when working remotely,I would recommend remote working to others,,,,
1163,1971,Male,"Professional, Scientific and Technical Services",Computer System Design and Related Services,Professionals,ICT Professionals,More than 200,Yes,Couple with no dependent children,More than 5 years,Metro,10%,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,,,,
1164,1985,Male,Construction,Heavy and Civil Engineering Construction,Professionals,"Business, Human Resource and Marketing Professionals",Between 5 and 19,Yes,Couple with dependent children,Between 6 and 12 months,Metro,30%,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,,,,
1165,1990,Male,"Professional, Scientific and Technical Services",Computer System Design and Related Services,Managers,Specialist Managers,Between 20 and 199,Yes,Single person,More than 5 years,Metro,80%,Strongly agree,Strongly agree,Somewhat disagree,Strongly agree,Strongly agree,Strongly agree,,,,
1166,1992,Female,Education and Training,Tertiary Education,Professionals,Education Professionals,More than 200,No,Group household,Between 6 and 12 months,Metro,0%,NA,NA,NA,NA,NA,NA,,,,
1167,1973,Male,"Professional, Scientific and Technical Services",Computer System Design and Related Services,Professionals,ICT Professionals,More than 200,No,Couple with no dependent children,More than 5 years,Metro,0%,NA,NA,NA,NA,NA,NA,,,,
1168,1981,Male,Arts and Recreation Services,Gambling Activities,Managers,Specialist Managers,More than 200,Yes,Couple with dependent children,More than 5 years,Metro,20%,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Strongly agree,Strongly agree,,,,
1169,1956,Male,Manufacturing,Food Product Manufacturing,Managers,"Chief Executives, General Managers and Legislators",More than 200,No,Couple with no dependent children,More than 5 years,Metro,30%,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,,,,
1170,1962,Female,"Professional, Scientific and Technical Services","Professional, Scientific and Technical Services",Clerical and administrative ,Clerical and Office Support ,More than 200,No,One  parent family with dependent children,Between 1 and 5 years,Regional,40%,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,,,,
1171,1991,Male,Public Administration and Safety,Public Administration,Managers,Specialist Managers,More than 200,Yes,Couple with no dependent children,Between 1 and 5 years,Metro,20%,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Strongly agree,,,,
1172,1982,Female,Accommodation and Food Services,Accommodation,Sales ,Sales Support ,Between 5 and 19,No,Couple with no dependent children,Between 1 and 5 years,Metro,10%,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,,,,
1173,1973,Female,Other Services,Personal and Other Services,Labourers,Cleaners and Laundry ,Between 20 and 199,No,Single person,Between 1 and 5 years,Metro,100%,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat agree,,,,
1174,1983,Female,Administrative and Support Services,Administrative Services,Managers,"Chief Executives, General Managers and Legislators",Between 20 and 199,Yes,Couple with dependent children,More than 5 years,Metro,30%,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,,,
1175,1987,Male,Manufacturing,Machinery and Equipment Manufacturing,Managers,"Chief Executives, General Managers and Legislators",More than 200,Yes,Couple with dependent children,Between 1 and 5 years,Metro,10%,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,,,,
1176,1973,Female,Administrative and Support Services,Administrative Services,Clerical and administrative ,Office Managers and Program Administrators,Between 5 and 19,No,Single person,Between 6 and 12 months,Metro,0%,NA,NA,NA,NA,NA,NA,,,,
1177,1985,Female,Manufacturing,"Textile, Leather, Clothing and Footwear Manufacturing",Professionals,"Design, Engineering, Science and Transport Professionals",Between 5 and 19,Yes,One  parent family with dependent children,Between 6 and 12 months,Regional,30%,Strongly agree,Neither agree nor disagree,Strongly agree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,,,,
1178,1997,Male,Mining,Coal Mining,Clerical and administrative ,Office Managers and Program Administrators,Between 20 and 199,Yes,Couple with dependent children,More than 5 years,Metro,80%,Somewhat agree,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly agree,,,,
1179,1989,Male,"Professional, Scientific and Technical Services",Computer System Design and Related Services,Managers,"Chief Executives, General Managers and Legislators",I am the only employee,Yes,Group household,More than 5 years,Metro,70%,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,,,,
1180,1993,Female,Public Administration and Safety,"Public Order, Safety and Regulatory Services",Managers,Specialist Managers,More than 200,Yes,Couple with no dependent children,Between 1 and 5 years,Metro,50%,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,,,,
1181,1976,Male,Wholesale Trade,Machinery and Equipment Wholesaling,Professionals,"Business, Human Resource and Marketing Professionals",Between 5 and 19,Yes,Couple with no dependent children,Between 6 and 12 months,Metro,10%,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Strongly disagree,Neither agree nor disagree,,,,
1182,1963,Female,Public Administration and Safety,Public Administration,Clerical and administrative ,Other Clerical and Administrative ,More than 200,No,Couple with no dependent children,More than 5 years,Metro,90%,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Somewhat agree,,,,
1183,1989,Male,Information Media and Telecommunications,Internet Publishing and Broadcasting,Managers,"Chief Executives, General Managers and Legislators",I am the only employee,Yes,Single person,More than 5 years,Metro,70%,Somewhat agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,,,,
1184,1984,Male,Manufacturing,Primary Metal and Metal Product Manufacturing,Technicians and trades ,"Engineering, ICT and Science Technicians",More than 200,No,Couple with dependent children,More than 5 years,Regional,10%,Somewhat disagree,Strongly agree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,,,,
1185,2001,Female,Public Administration and Safety,"Public Order, Safety and Regulatory Services",Managers,"Chief Executives, General Managers and Legislators",More than 200,Yes,Group household,Between 6 and 12 months,Metro,30%,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Neither agree nor disagree,Strongly disagree,,,,
1186,1985,Female,Manufacturing,Wood Product Manufacturing,Professionals,"Business, Human Resource and Marketing Professionals",Between 5 and 19,Yes,One  parent family with dependent children,Between 1 and 5 years,Regional,20%,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Strongly disagree,Neither agree nor disagree,,,,
1187,1975,Female,Information Media and Telecommunications,Internet Publishing and Broadcasting,Managers,"Chief Executives, General Managers and Legislators",More than 200,Yes,Couple with dependent children,More than 5 years,Metro,0%,NA,NA,NA,NA,NA,NA,,,,
1188,1986,Male,Administrative and Support Services,Administrative Services,Professionals,ICT Professionals,Between 1 and 4,Yes,Couple with dependent children,Between 1 and 5 years,Metro,60%,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,,,,
1189,1978,Female,Health Care and Social Assistance,Medical and Other Health Care Services,Managers,"Chief Executives, General Managers and Legislators",Between 20 and 199,Yes,Couple with dependent children,Between 1 and 5 years,Metro,30%,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,,,
1190,1979,Female,Administrative and Support Services,Administrative Services,Clerical and administrative ,Personal Assistants and Secretaries,Between 5 and 19,No,Couple with dependent children,Between 1 and 5 years,Regional,10%,Strongly disagree,Somewhat disagree,Somewhat disagree,Strongly disagree,Somewhat agree,Somewhat agree,,,,
1191,1991,Male,Financial and Insurance Services,Finance,Sales ,Sales Representatives and Agents,More than 200,No,Single person,Between 1 and 5 years,Metro,10%,Somewhat agree,Somewhat agree,Neither agree nor disagree,Strongly agree,Somewhat agree,Neither agree nor disagree,,,,
1192,1965,Male,"Professional, Scientific and Technical Services","Professional, Scientific and Technical Services",Technicians and trades ,Other Technicians and Trades ,More than 200,Yes,Couple with no dependent children,Between 6 and 12 months,Regional,10%,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,,,,
1193,1961,Female,Other Services,Personal and Other Services,Community and personal service ,Health and Welfare Support ,More than 200,No,One  parent family with dependent children,More than 5 years,Metro,0%,NA,NA,NA,NA,NA,NA,,,,
1194,1990,Male,Arts and Recreation Services,Gambling Activities,Managers,Specialist Managers,Between 20 and 199,Yes,Single person,Between 6 and 12 months,Regional,50%,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,,,,
1195,1990,Male,"Professional, Scientific and Technical Services","Professional, Scientific and Technical Services",Professionals,"Business, Human Resource and Marketing Professionals",Between 5 and 19,No,Single person,Between 1 and 5 years,Metro,60%,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,,,,
1196,1993,Male,Administrative and Support Services,Administrative Services,Clerical and administrative ,Clerical and Office Support ,Between 20 and 199,No,Single person,Between 1 and 5 years,Metro,50%,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,,,,
1197,1966,Female,Public Administration and Safety,Public Administration,Professionals,"Legal, Social and Welfare Professionals",More than 200,No,Couple with no dependent children,More than 5 years,Metro,70%,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,,,,
1198,1996,Male,Retail Trade,Other Store-Based Retailing,Managers,"Hospitality, Retail and Service Managers",More than 200,Yes,Single person,Between 1 and 5 years,Metro,10%,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,,,,
1199,1996,Male,Information Media and Telecommunications,Internet Publishing and Broadcasting,Managers,"Chief Executives, General Managers and Legislators",More than 200,Yes,Single person,Between 1 and 5 years,Regional,0%,NA,NA,NA,NA,NA,NA,,,,
1200,1993,Male,Retail Trade,Other Store-Based Retailing,Sales ,Sales Assistants and Salespersons,More than 200,Yes,One  parent family with dependent children,Between 1 and 5 years,Metro,10%,Somewhat agree,Somewhat agree,Strongly disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,,,,
1201,1957,Female,Education and Training,Preschool and School Education,Managers,Specialist Managers,More than 200,Yes,Couple with no dependent children,More than 5 years,Metro,0%,NA,NA,NA,NA,NA,NA,,,,
1202,1964,Male,"Professional, Scientific and Technical Services","Professional, Scientific and Technical Services",Sales ,Sales Representatives and Agents,Between 20 and 199,No,Couple with no dependent children,More than 5 years,Metro,0%,NA,NA,NA,NA,NA,NA,,,,
1203,1989,Male,Information Media and Telecommunications,Internet Publishing and Broadcasting,Professionals,Arts and Media Professionals,I am the only employee,Yes,Group household,More than 5 years,Metro,80%,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,,,,
1204,1981,Male,Construction,Building Construction,Professionals,"Design, Engineering, Science and Transport Professionals",Between 5 and 19,No,Couple with dependent children,More than 5 years,Metro,80%,Strongly agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,,,,
1205,1984,Male,Education and Training,Preschool and School Education,Professionals,Education Professionals,More than 200,Yes,Couple with dependent children,More than 5 years,Regional,0%,NA,NA,NA,NA,NA,NA,,,,
1206,1985,Male,Construction,Building Construction,Managers,"Chief Executives, General Managers and Legislators",More than 200,No,Single person,Between 1 and 5 years,Metro,10%,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,,,,
1207,1970,Male,Information Media and Telecommunications,Telecommunications Services,Technicians and trades ,Electrotechnology and Telecommunications Trades ,More than 200,No,Couple with no dependent children,More than 5 years,Metro,0%,NA,NA,NA,NA,NA,NA,,,,
1208,1995,Female,"Professional, Scientific and Technical Services","Professional, Scientific and Technical Services",Professionals,"Business, Human Resource and Marketing Professionals",More than 200,Yes,Single person,More than 5 years,Regional,10%,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,,,,
1209,1975,Female,Education and Training,"Adult, Community and Other Education",Professionals,Education Professionals,Between 1 and 4,Yes,Single person,More than 5 years,Metro,80%,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,,,
1210,1962,Female,Education and Training,Preschool and School Education,Technicians and trades ,Other Technicians and Trades ,Between 20 and 199,No,Couple with no dependent children,More than 5 years,Metro,0%,NA,NA,NA,NA,NA,NA,,,,
1211,1979,Female,Information Media and Telecommunications,"Internet Service Providers, Web Search Portals and Data Processing Services",Professionals,"Design, Engineering, Science and Transport Professionals",More than 200,Yes,Couple with dependent children,More than 5 years,Metro,100%,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,,,,
1212,1978,Male,Accommodation and Food Services,Accommodation,Managers,Specialist Managers,Between 20 and 199,Yes,Couple with dependent children,More than 5 years,Regional,20%,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,,,,
1213,1964,Male,Manufacturing,Wood Product Manufacturing,Technicians and trades ,Automotive and Engineering Trades ,Between 20 and 199,Yes,Couple with dependent children,Between 6 and 12 months,Metro,70%,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,,,,
1214,1971,Female,"Professional, Scientific and Technical Services",Computer System Design and Related Services,Managers,Specialist Managers,Between 20 and 199,Yes,Couple with dependent children,More than 5 years,Metro,10%,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,,,,
1215,1982,Female,Financial and Insurance Services,Finance,Managers,"Chief Executives, General Managers and Legislators",More than 200,Yes,Couple with no dependent children,More than 5 years,Metro,0%,NA,NA,NA,NA,NA,NA,,,,
1216,1985,Male,Wholesale Trade,Basic Material Wholesaling,Labourers,Other Labourers,Between 5 and 19,No,Couple with no dependent children,Between 1 and 5 years,Regional,10%,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat disagree,,,,
1217,1965,Female,Construction,Heavy and Civil Engineering Construction,Managers,Specialist Managers,More than 200,Yes,Single person,More than 5 years,Metro,0%,NA,NA,NA,NA,NA,NA,,,,
1218,1980,Male,"Professional, Scientific and Technical Services",Computer System Design and Related Services,Technicians and trades ,Electrotechnology and Telecommunications Trades ,Between 20 and 199,Yes,Couple with no dependent children,Between 6 and 12 months,Metro,20%,Strongly agree,Strongly disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,,,,
1219,1984,Female,Financial and Insurance Services,Finance,Managers,"Chief Executives, General Managers and Legislators",More than 200,Yes,Group household,Between 1 and 5 years,Metro,10%,Somewhat disagree,Strongly agree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,,,,
1220,1971,Female,Public Administration and Safety,Public Administration,Clerical and administrative ,Other Clerical and Administrative ,More than 200,No,Couple with no dependent children,More than 5 years,Metro,0%,NA,NA,NA,NA,NA,NA,,,,
1221,1992,Male,"Professional, Scientific and Technical Services",Computer System Design and Related Services,Professionals,"Business, Human Resource and Marketing Professionals",Between 20 and 199,Yes,Single person,Between 1 and 5 years,Metro,50%,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,,,,
1222,1900,Female,Health Care and Social Assistance,Hospitals,Community and personal service ,Health and Welfare Support ,More than 200,Yes,Single person,Between 1 and 5 years,Metro,50%,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,,,
1223,1991,Female,Health Care and Social Assistance,Medical and Other Health Care Services,Sales ,Sales Representatives and Agents,More than 200,No,Other one family household,Between 1 and 5 years,Regional,10%,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,,,,
1224,1985,Male,Construction,Heavy and Civil Engineering Construction,Managers,Specialist Managers,Between 20 and 199,Yes,One  parent family with dependent children,Between 1 and 5 years,Metro,60%,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,,,,
1225,1995,Male,Information Media and Telecommunications,"Internet Service Providers, Web Search Portals and Data Processing Services",Managers,"Chief Executives, General Managers and Legislators",Between 20 and 199,Yes,Couple with no dependent children,Between 6 and 12 months,Metro,30%,Neither agree nor disagree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,,,,
1226,1956,Male,Manufacturing,Primary Metal and Metal Product Manufacturing,Managers,Specialist Managers,More than 200,Yes,Couple with no dependent children,More than 5 years,Metro,100%,Strongly disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Strongly agree,Strongly agree,,,,
1227,1968,Male,Health Care and Social Assistance,Residential Care Services,Professionals,Health Professionals,More than 200,Yes,Couple with dependent children,More than 5 years,Metro,50%,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,,,
1228,1991,Male,Other Services,Personal and Other Services,Professionals,"Legal, Social and Welfare Professionals",Between 1 and 4,No,Couple with no dependent children,Between 6 and 12 months,Metro,20%,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat agree,,,,
1229,1990,Male,Retail Trade,Food Retailing,Managers,Specialist Managers,More than 200,Yes,Couple with dependent children,Between 1 and 5 years,Metro,40%,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,,,,
1230,1981,Male,"Transport, Postal and Warehousing",Water Transport,Managers,Specialist Managers,More than 200,Yes,Single person,More than 5 years,Metro,20%,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,,,,
1231,1991,Male,Manufacturing,Basic Chemical and Chemical Product Manufacturing,Sales ,Sales Support ,More than 200,No,Couple with no dependent children,Between 1 and 5 years,Metro,20%,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,,,,
1232,1959,Female,Health Care and Social Assistance,Social Assistance Services,Community and personal service ,Carers and Aides,More than 200,No,Other one family household,More than 5 years,Regional,50%,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Strongly disagree,Neither agree nor disagree,,,,
1233,1984,Female,Construction,Building Construction,Professionals,Arts and Media Professionals,Between 1 and 4,Yes,Couple with dependent children,Between 6 and 12 months,Metro,50%,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,,,,
1234,1969,Female,Retail Trade,Non-Store Retailing and Retail Commission-Based Buying and/or Selling,Managers,"Chief Executives, General Managers and Legislators",I am the only employee,No,Other one family household,More than 5 years,Metro,100%,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,,,,
1235,1959,Female,"Professional, Scientific and Technical Services","Professional, Scientific and Technical Services",Professionals,"Business, Human Resource and Marketing Professionals",Between 20 and 199,No,Couple with dependent children,Between 1 and 5 years,Metro,20%,Somewhat disagree,Strongly agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Strongly agree,,,,
1236,1983,Male,Information Media and Telecommunications,"Internet Service Providers, Web Search Portals and Data Processing Services",Professionals,ICT Professionals,Between 5 and 19,Yes,Couple with dependent children,Between 6 and 12 months,Metro,50%,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,,,,
1237,1988,Male,Financial and Insurance Services,Finance,Clerical and administrative ,Office Managers and Program Administrators,Between 5 and 19,No,Single person,Between 1 and 5 years,Metro,20%,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,,,,
1238,1959,Male,"Transport, Postal and Warehousing",Warehousing and Storage Services,Managers,"Chief Executives, General Managers and Legislators",I am the only employee,No,Couple with dependent children,Between 1 and 5 years,Metro,100%,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,,,,
1239,1971,Female,Administrative and Support Services,Administrative Services,Clerical and administrative ,Personal Assistants and Secretaries,Between 1 and 4,No,Couple with no dependent children,More than 5 years,Metro,0%,NA,NA,NA,NA,NA,NA,,,,
1240,1980,Female,Construction,Building Construction,Managers,"Chief Executives, General Managers and Legislators",Between 20 and 199,Yes,Couple with dependent children,More than 5 years,Regional,10%,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,,,,
1241,1995,Female,Education and Training,Preschool and School Education,Professionals,Education Professionals,Between 20 and 199,No,Couple with no dependent children,Between 1 and 5 years,Metro,100%,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,,,
1242,1970,Male,Other Services,Personal and Other Services,Community and personal service ,Hospitality ,Between 5 and 19,Yes,Single person,Between 1 and 5 years,Metro,10%,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,,,,
1243,1988,Female,Retail Trade,Food Retailing,Clerical and administrative ,General Clerical ,More than 200,Yes,Single person,Between 1 and 5 years,Metro,30%,Strongly agree,Somewhat agree,Somewhat disagree,Somewhat agree,Strongly agree,Neither agree nor disagree,,,,
1244,1962,Male,Public Administration and Safety,Public Administration,Professionals,"Design, Engineering, Science and Transport Professionals",More than 200,No,Single person,More than 5 years,Metro,10%,Neither agree nor disagree,Strongly agree,Somewhat disagree,Somewhat agree,Somewhat agree,Strongly agree,,,,
1245,1980,Male,Other Services,Personal and Other Services,Managers,"Chief Executives, General Managers and Legislators",More than 200,No,Couple with dependent children,More than 5 years,Metro,20%,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,,,
1246,1964,Male,Health Care and Social Assistance,Social Assistance Services,Community and personal service ,Health and Welfare Support ,Between 1 and 4,No,Single person,More than 5 years,Regional,0%,NA,NA,NA,NA,NA,NA,,,,
1247,1973,Male,Public Administration and Safety,"Public Order, Safety and Regulatory Services",Professionals,"Design, Engineering, Science and Transport Professionals",Between 20 and 199,Yes,Couple with dependent children,More than 5 years,Metro,0%,NA,NA,NA,NA,NA,NA,,,,
1248,1980,Female,Retail Trade,Other Store-Based Retailing,Sales ,Sales Assistants and Salespersons,Between 5 and 19,Yes,Couple with dependent children,Between 1 and 5 years,Metro,20%,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,,,,
1249,1983,Female,Construction,Heavy and Civil Engineering Construction,Professionals,"Business, Human Resource and Marketing Professionals",Between 5 and 19,Yes,Couple with dependent children,Between 6 and 12 months,Metro,40%,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Neither agree nor disagree,Somewhat agree,,,,
1250,1980,Female,Information Media and Telecommunications,Internet Publishing and Broadcasting,Clerical and administrative ,General Clerical ,Between 20 and 199,Yes,Couple with dependent children,Between 1 and 5 years,Metro,60%,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,,,,
1251,1981,Female,"Professional, Scientific and Technical Services","Professional, Scientific and Technical Services",Professionals,"Legal, Social and Welfare Professionals",Between 20 and 199,Yes,Couple with no dependent children,Between 1 and 5 years,Metro,100%,Somewhat agree,Strongly agree,Somewhat agree,Neither agree nor disagree,Strongly agree,Strongly agree,,,,
1252,1991,Male,Financial and Insurance Services,Finance,Technicians and trades ,Automotive and Engineering Trades ,More than 200,No,Single person,Between 1 and 5 years,Metro,20%,Somewhat disagree,Strongly disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,,,,
1253,1968,Female,Health Care and Social Assistance,Medical and Other Health Care Services,Technicians and trades ,Electrotechnology and Telecommunications Trades ,More than 200,Yes,Couple with no dependent children,More than 5 years,Metro,10%,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,,,,
1254,1986,Male,Health Care and Social Assistance,Medical and Other Health Care Services,Managers,Farmers and Farm Managers,More than 200,Yes,Couple with dependent children,Between 1 and 5 years,Metro,70%,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,,,,
1255,1998,Male,Financial and Insurance Services,Finance,Professionals,"Legal, Social and Welfare Professionals",Between 20 and 199,No,Multiple family household,Between 1 and 5 years,Metro,50%,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Strongly disagree,Neither agree nor disagree,,,,
1256,1987,Female,Financial and Insurance Services,Insurance and Superannuation Funds,Clerical and administrative ,Numerical Clerks,More than 200,No,Couple with no dependent children,Between 1 and 5 years,Metro,50%,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,,,,
1257,1986,Female,Financial and Insurance Services,Finance,Managers,"Chief Executives, General Managers and Legislators",More than 200,Yes,Couple with dependent children,More than 5 years,Regional,60%,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly disagree,,,,
1258,1980,Female,Information Media and Telecommunications,Internet Publishing and Broadcasting,Professionals,Arts and Media Professionals,More than 200,No,Couple with dependent children,More than 5 years,Metro,10%,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,,,,
1259,1973,Male,Public Administration and Safety,Public Administration,Professionals,"Legal, Social and Welfare Professionals",More than 200,No,Single person,More than 5 years,Metro,80%,Strongly agree,Neither agree nor disagree,Strongly disagree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,,,,
1260,1982,Male,Manufacturing,Transport Equipment Manufacturing,Managers,Specialist Managers,More than 200,Yes,Multiple family household,More than 5 years,Regional,80%,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,,,,
1261,1975,Male,Health Care and Social Assistance,Residential Care Services,Professionals,Health Professionals,Between 20 and 199,Yes,Couple with no dependent children,More than 5 years,Metro,30%,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,,,,
1262,1962,Female,Other Services,Personal and Other Services,Managers,Specialist Managers,More than 200,Yes,Couple with no dependent children,Between 1 and 5 years,Regional,10%,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Somewhat disagree,Somewhat disagree,,,,
1263,1985,Male,Retail Trade,Fuel Retailing,Managers,Specialist Managers,Between 5 and 19,Yes,Couple with no dependent children,Between 6 and 12 months,Metro,40%,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Strongly agree,Neither agree nor disagree,,,,
1264,1961,Male,"Rental, Hiring and Real Estate Services",Property Operators and Real Estate Services,Sales ,Sales Representatives and Agents,Between 5 and 19,No,Couple with no dependent children,More than 5 years,Regional,60%,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Strongly agree,,,,
1265,1957,Female,Financial and Insurance Services,Insurance and Superannuation Funds,Professionals,"Legal, Social and Welfare Professionals",Between 5 and 19,No,Couple with no dependent children,Between 1 and 5 years,Regional,0%,NA,NA,NA,NA,NA,NA,,,,
